            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460147.875000000, A.D. 2023-Jul-22 09:00:00.0000, -3.966804716211548E+05,  7.502402629626666E+04,  2.257497231224080E+04,
2460147.895833333, A.D. 2023-Jul-22 09:30:00.0000, -3.969672684960229E+05,  7.330488315669066E+04,  2.245494001389534E+04,
2460147.916666667, A.D. 2023-Jul-22 10:00:00.0000, -3.972462095560492E+05,  7.158436350628553E+04,  2.233446074270428E+04,
2460147.937500000, A.D. 2023-Jul-22 10:30:00.0000, -3.975172866615116E+05,  6.986250073792548E+04,  2.221353676250088E+04,
2460147.958333333, A.D. 2023-Jul-22 11:00:00.0000, -3.977804917980868E+05,  6.813932828599785E+04,  2.209217034592650E+04,
2460147.979166667, A.D. 2023-Jul-22 11:30:00.0000, -3.980358170770382E+05,  6.641487962610660E+04,  2.197036377441435E+04,
2460148.000000000, A.D. 2023-Jul-22 12:00:00.0000, -3.982832547354043E+05,  6.468918827477607E+04,  2.184811933817342E+04,
2460148.020833333, A.D. 2023-Jul-22 12:30:00.0000, -3.985227971361885E+05,  6.296228778915423E+04,  2.172543933617227E+04,
2460148.041666667, A.D. 2023-Jul-22 13:00:00.0000, -3.987544367685493E+05,  6.123421176671632E+04,  2.160232607612308E+04,
2460148.062500000, A.D. 2023-Jul-22 13:30:00.0000, -3.989781662479916E+05,  5.950499384496845E+04,  2.147878187446553E+04,
2460148.083333333, A.D. 2023-Jul-22 14:00:00.0000, -3.991939783165588E+05,  5.777466770115086E+04,  2.135480905635076E+04,
2460148.104166667, A.D. 2023-Jul-22 14:30:00.0000, -3.994018658430266E+05,  5.604326705194129E+04,  2.123040995562542E+04,
2460148.125000000, A.D. 2023-Jul-22 15:00:00.0000, -3.996018218230965E+05,  5.431082565315840E+04,  2.110558691481575E+04,
2460148.145833333, A.D. 2023-Jul-22 15:30:00.0000, -3.997938393795913E+05,  5.257737729946467E+04,  2.098034228511153E+04,
2460148.166666667, A.D. 2023-Jul-22 16:00:00.0000, -3.999779117626509E+05,  5.084295582406961E+04,  2.085467842635028E+04,
2460148.187500000, A.D. 2023-Jul-22 16:30:00.0000, -4.001540323499299E+05,  4.910759509843264E+04,  2.072859770700130E+04,
2460148.208333333, A.D. 2023-Jul-22 17:00:00.0000, -4.003221946467952E+05,  4.737132903196556E+04,  2.060210250414986E+04,
2460148.229166667, A.D. 2023-Jul-22 17:30:00.0000, -4.004823922865259E+05,  4.563419157173519E+04,  2.047519520348137E+04,
2460148.250000000, A.D. 2023-Jul-22 18:00:00.0000, -4.006346190305126E+05,  4.389621670216572E+04,  2.034787819926548E+04,
2460148.270833333, A.D. 2023-Jul-22 18:30:00.0000, -4.007788687684595E+05,  4.215743844474059E+04,  2.022015389434040E+04,
